1465.57;60.2
1295.91;48.9429
1663;45.8
633;48
1781.67;42.2286
1777.33;38.9429
1689.33;47.4
1223.33;42.2286
1248.82;61.4
826.818;52.8
1786.55;47.3714
1645.92;42.0857
1532;54.6
1471.45;44.8
1297.96;55.4
1128.5;54.2
1788.88;43.8
1727.21;39.8
1545.4;56.8
1455.23;45.0857
698.8;53.6
766.52;54.6
897.8;43.6571
913.429;40.3714
960.44;53.8
923.12;44.2286
627.333;61.6
471.103;60.8
776.128;54.2
1282.62;43.3714
1542.61;40.8
1769;47.6571
1794.57;40.8
1738.62;43.3714
1815.1;40.0857
486.718;55.8
733.359;53
;28
;28.2
435.192;56
587.846;52.6
